61688118-Team Total Away-away-Duel-0.5,111.81,Team Total Away,Duel,1.44,2.48,,61688118,CD Tenerife,Granada CF,Football,Spain - Primera Division Women
61688118-Spread-home-Duel--1,143.85,Spread,Duel,2.66,1.39,,61688118,CD Tenerife,Granada CF,Football,Spain - Primera Division Women
61688118-ML-home-Duel,120.15,ML,Duel,1.82,3.95,3.35,61688118,CD Tenerife,Granada CF,Football,Spain - Primera Division Women
64484713-Spread-away-Duel-0.5,103.79,Spread,Duel,1.57,2.18,,64484713,Al Jazira (UAE),Al Wasl FC,Football,United Arab Emirates - Pro League Cup
63325933-ML-home-Duel,101.47,ML,Duel,2.54,2.30,3.75,63325933,Umm-Salal SC,AL Wakrah SC,Football,Qatar - QSL Cup
56418653-Bookings Totals-away-Duel-3.5,108.51,Bookings Totals,Duel,1.79,1.85,,56418653,Israel,Moldova,Football,"International - WC Qualification, UEFA"
57585259-ML-away-Duel,100.28,ML,Duel,3.75,1.95,3.25,57585259,Blaublitz Akita,Vegalta Sendai,Football,Japan - J.League 2
61731974-ML-draw-Duel,101.3,ML,Duel,3.30,2.20,3.10,61731974,Leixoes SC,GD Chaves,Football,Portugal - Liga Portugal 2
56418575-Totals HT-home-Duel-1.5,108.25,Totals HT,Duel,1.84,1.92,,56418575,Portugal,Armenia,Football,"International - WC Qualification, UEFA"
64888866-Totals-away-Duel-2.25,100.89,Totals,Duel,2.10,1.64,,64888866,Spartak Kostroma,Rodina Moscow,Football,Russia - 1. Liga
61623224-Team Total Away-away-Duel-1.5,101.0,Team Total Away,Duel,2.38,1.53,,61623224,Cordoba CF,RC Deportivo La Coruna,Football,Spain - LaLiga 2
56418341-Corners Totals-away-Duel-9.5,110.39,Corners Totals,Duel,1.77,1.94,,56418341,Sweden,Slovenia,Football,"International - WC Qualification, UEFA"
56418475-Corners Spread-away-Duel--3.5,103.5,Corners Spread,Duel,1.68,2.02,,56418475,Northern Ireland,Luxembourg,Football,"International - WC Qualification, UEFA"
56418821-Corners Spread-home-Duel-3.5,102.31,Corners Spread,Duel,2.06,1.65,,56418821,Montenegro,Croatia,Football,"International - WC Qualification, UEFA"
